,0
0,0.38164771624148075
1,0.3787910087484948
2,0.3759447946508925
3,0.37311049123662304
4,0.3702955272871358
5,0.36748869673729007
6,0.3646960024661868
7,0.3619158797257723
8,0.35914745060014586
9,0.35639594265110386
10,0.35365388155341937
11,0.35092445372937897
12,0.34820919811497786
13,0.34550380818850424
14,0.34281423701949193
15,0.34013623379505936
16,0.33746725454443066
17,0.3348131960445651
18,0.33217186668134685
19,0.32954192820730965
20,0.3269254682801039
21,0.3243164283966198
22,0.3217227706447768
23,0.31914163882192614
24,0.3165706471970741
25,0.31401303016342885
26,0.3114625586855199
27,0.30892815840405485
28,0.30640618683504434
29,0.30389166512140126
30,0.30139083728472554
31,0.2988990287010308
32,0.2964212045388131
33,0.29395635336519554
34,0.29149771175834915
35,0.289051845153942
36,0.2866172196019561
37,0.28419439718319006
38,0.2817841127910139
39,0.27937995059551474
40,0.2769882351669756
41,0.27460944899021034
42,0.2722393803330135
43,0.2698824277587034
44,0.2675319461240377
45,0.26519232916823
46,0.2628676504714799
47,0.2605498481590182
48,0.2582441157857702
49,0.25594551166269874
50,0.25365872607341816
51,0.2513849393998375
52,0.2491176599089324
53,0.24686260254757225
54,0.24461403997673706
55,0.24237845743603492
56,0.24015445423442314
57,0.2379365502478406
58,0.2357304246082893
59,0.2335311157846202
60,0.23134551474581275
61,0.22916911837141404
62,0.22699974511315313
63,0.2248416903631095
64,0.22269081178865555
65,0.2205530179441479
66,0.21842327191678743
67,0.21630056793220975
68,0.21418956468185424
69,0.21208642780684916
70,0.20999475690419744
71,0.20791018329368613
72,0.20583372438377748
73,0.20376835413611036
74,0.20171139612933847
75,0.19966541573819974
76,0.19762398561904465
77,0.19559272196641247
78,0.19357269761475762
79,0.19156013325830687
80,0.18955768987463836
81,0.18755958923998084
82,0.18557411668106483
83,0.18359628655849744
84,0.18162761297347407
85,0.1796658501684712
86,0.1777113267741665
87,0.17577043958514985
88,0.1738339230722768
89,0.17190827470708114
90,0.16998624235228935
91,0.1680769394818637
92,0.16617530585745177
93,0.16428109054494552
94,0.1623944120595997
95,0.16051539429743855
96,0.1586485947067587
97,0.1567854960240417
98,0.15493282507244163
99,0.15308401224577434
100,0.15124904109309456
101,0.1494190939840779
102,0.14759680260446348
103,0.14578105904957492
104,0.14397609661273755
105,0.1421790992268911
106,0.1403870731725043
107,0.13860399058331224
108,0.13682817185746682
109,0.1350636171067908
110,0.13330118013644418
111,0.13154864263173038
112,0.1298033424294318
113,0.1280680897842154
114,0.1263370387346279
115,0.12461378724237261
116,0.12289923035799923
117,0.1211931894238753
118,0.11949265894862819
119,0.11779811995040221
120,0.11611412966020185
121,0.11443679657535384
122,0.11276589038275504
123,0.11110004903123755
124,0.10944591891671952
125,0.10779692322884593
126,0.1061549760605496
127,0.10451767047319446
128,0.10289277004174484
129,0.10127174534130463
130,0.0996577974008844
131,0.0980498733146736
132,0.09645243911531073
133,0.09485919820971059
134,0.09327251555791438
135,0.09169383588086008
136,0.09012348728698923
137,0.08855739671563485
138,0.08699751869957248
139,0.08544807208606624
140,0.08390366115647703
141,0.08236484407673696
142,0.080833172493791
143,0.07931069833835716
144,0.07779164981604847
145,0.07627954381733168
146,0.07477592248522605
147,0.07328003127216219
148,0.07178566720043589
149,0.07030262869345749
150,0.06882410663969082
151,0.06735262186196861
152,0.06588529632553929
153,0.06442869459152198
154,0.06297626630520671
155,0.06152808910698596
156,0.060091176046039654
157,0.05865733737492893
158,0.05723088248228718
159,0.05580912828350195
160,0.05439692746380678
161,0.05298734005375022
162,0.051585438366931156
163,0.05019199119123724
164,0.04880132733625049
165,0.047419052082150845
166,0.04604216687999008
167,0.04467197981660866
168,0.043305538233519444
169,0.04194890395219375
170,0.04059754105076978
171,0.03924815376962952
172,0.03791109568150356
173,0.03657603155516519
174,0.03524605319312142
175,0.03392705269409999
176,0.03260924700145712
177,0.031298394884339414
178,0.029995571249231075
179,0.028696330206117268
180,0.027404286242948876
181,0.026117592464957123
182,0.024836457923323466
183,0.02356133216305871
184,0.022292455520396763
185,0.02102878800868178
186,0.019770806361220673
187,0.01851914413251106
188,0.017272540145145177
189,0.016031881753493123
190,0.014796997770219774
191,0.013567010655342127
192,0.012343755156646865
193,0.011124950883648182
194,0.009912857118603244
195,0.008705375101079013
196,0.0075022671443877595
197,0.0063081313806492125
198,0.00511600747655321
199,0.003929411862349388
200,0.002752020700976647
201,0.0015746051297963447
202,0.00040591830917601325
203,0.0007565164612380682
204,0.001918828081463673
205,0.0030708363030154963
206,0.004219582137216853
207,0.005363218301368503
208,0.0065019264915902545
209,0.007636066852161466
210,0.00876238607098642
211,0.009888366096186808
212,0.011005414271970024
213,0.012118070411073576
214,0.01322828738092797
215,0.014331731158764079
216,0.015432440224593818
217,0.016523913915167054
218,0.017616281025346014
219,0.01870057535123451
220,0.019780808761977735
221,0.02085667301935943
222,0.021928713890565776
223,0.022997388965756448
224,0.024058030611657677
225,0.02511842933950663
226,0.026171504326111712
227,0.027223431056377964
228,0.028267620609419928
229,0.029309399642864758
230,0.030348062444399554
231,0.03138286773362633
232,0.03241304288496479
233,0.03343840963552127
234,0.03446187632648149
235,0.035481164740459765
236,0.03649814967423239
237,0.03750885430184833
238,0.03851826437361871
239,0.03952258186530779
240,0.0405272373720578
241,0.04152512176895265
242,0.04252274189714738
243,0.04351364667592868
244,0.04450536491750969
245,0.045492115033931635
246,0.046479224171704484
247,0.0474601008799218
248,0.04844120203748221
249,0.04941672793336319
250,0.05039341694716573
251,0.05136641834120526
252,0.05233895878678506
