,0
0,0.4433492479092721
1,0.4412337167248769
2,0.4391293873107632
3,0.43703618956919066
4,0.43495406635786205
5,0.4328829193222778
6,0.4308227181368035
7,0.4287733962592771
8,0.42673495531630423
9,0.42470720485822316
10,0.4226901876970714
11,0.42068378511781723
12,0.41868795898498035
13,0.4167025898720178
14,0.4147277345855401
15,0.41276324780659
16,0.4108091173950974
17,0.40886520326269465
18,0.40693155022866506
19,0.4050080496555785
20,0.40309454444370346
21,0.40119114644623904
22,0.39929769220579203
23,0.39741418711244036
24,0.3955405115203935
25,0.39367661866267806
26,0.3918225128054747
27,0.38997803682629995
28,0.38814320849085643
29,0.3863179490978973
30,0.38450215659624315
31,0.3826958404590062
32,0.38089889221284295
33,0.3791113355716837
34,0.3773329868939669
35,0.37556391300650843
36,0.3738039421730506
37,0.3720530862374326
38,0.37031133569892205
39,0.36857850710574924
40,0.366854654723971
41,0.365139658117875
42,0.3634335460880158
43,0.3617361419149048
44,0.3600474887941327
45,0.3583674716111776
46,0.3566960370497065
47,0.3550331658203724
48,0.3533787916718229
49,0.3517328156476718
50,0.35009521233597785
51,0.34846594915068146
52,0.3468449291760657
53,0.34523213392839625
54,0.3436275367656179
55,0.34203096070226
56,0.34044241256983204
57,0.33886195375220735
58,0.3372892994305962
59,0.3357245955906397
60,0.33416764548668726
61,0.33261853207343195
62,0.3310770521465968
63,0.32954328236618613
64,0.3280170537835298
65,0.32649839562669886
66,0.32498713205208524
67,0.32348336739080535
68,0.32198689933696495
69,0.32049780613879325
70,0.3190159706377229
71,0.3175412298540126
72,0.31607371611003054
73,0.31461321754800553
74,0.3131598025428183
75,0.31171325164103036
76,0.31027368713055353
77,0.30884090242227213
78,0.3074149346737933
79,0.3059956195044261
80,0.30458300562296964
81,0.3031769798365253
82,0.3017774929007093
83,0.30038454845684914
84,0.2989979621523394
85,0.2976177525560875
86,0.2962437963073168
87,0.29487608531362297
88,0.29351453198469246
89,0.2921591012112023
90,0.29080967624108023
91,0.2894662594173635
92,0.2881287262281501
93,0.286797029347137
94,0.2854711828906447
95,0.2841510024383537
96,0.2828364508612257
97,0.2815274145126082
98,0.2802239960345631
99,0.2789259943624662
100,0.2776332606397519
101,0.276345839611519
102,0.27506364430167457
103,0.2737866913214151
104,0.2725146824459172
105,0.2712477298056802
106,0.26998573658842034
107,0.26872851765439243
108,0.2674761223505092
109,0.2662283346491387
110,0.26498525809810247
111,0.2637465844280933
112,0.26251247958183116
113,0.261282642200588
114,0.26005716933344564
115,0.2588357726940608
116,0.2576184943940044
117,0.2564053114213081
118,0.2551959061638287
119,0.2539904896920061
120,0.2527887070561416
121,0.25159055613586245
122,0.2503959724842903
123,0.24920482448865974
124,0.24801699294349536
125,0.2468324368840479
126,0.24565095677097928
127,0.24447256800209657
128,0.2432970156617248
129,0.24212428081054096
130,0.24095422156523996
131,0.23978673687922336
132,0.23862169683712217
133,0.237458965765056
134,0.23629853018298883
135,0.23513998696942592
136,0.2339835193394198
137,0.23282884086718633
138,0.23167581173143306
139,0.23052420939320953
140,0.22937412300194576
141,0.22822523625774002
142,0.2270773573540262
143,0.22593048473446378
144,0.22478424156759844
145,0.2236387521633391
146,0.22249358382564796
147,0.22134872656543728
148,0.22020386678856302
149,0.21905895668956787
150,0.21791371565046103
151,0.2167679539512286
152,0.21562145206289784
153,0.21447402510737426
154,0.2133255851182298
155,0.2121757061144219
156,0.2110241273529962
157,0.20987098732417525
158,0.20871559983020918
159,0.20755795206826597
160,0.20639761573587648
161,0.20523453863757704
162,0.2040683654417091
163,0.20289865695429554
164,0.2017253226402356
165,0.20054789747710466
166,0.19936612758638
167,0.1981795150349703
168,0.19698809079641302
169,0.19579117749752173
170,0.19458839359245647
171,0.19337961296947992
172,0.19216419568845527
173,0.1909416490120313
174,0.1897118547329072
175,0.18847413176121225
176,0.18722795123248068
177,0.18597292339933247
178,0.1847085410802272
179,0.1834343030221391
180,0.18214945505560157
181,0.18085356358512777
182,0.17954598421569617
183,0.17822613128923906
184,0.17689312229690468
185,0.1755465813539827
186,0.17418539694251847
187,0.1728091263247781
188,0.1714167521046764
189,0.17000737132491625
190,0.16858015371902263
191,0.16713429205516914
192,0.16566869559346178
193,0.16418234670568346
194,0.16267390302978837
195,0.16114252259840617
196,0.15958679887568974
197,0.15800555969133748
198,0.15639742085028435
199,0.1547606656148237
200,0.15309413100592273
201,0.15139591696119967
202,0.1496644921332219
203,0.1478979645715132
204,0.14609457205087983
205,0.14425194990779425
206,0.14236776483222394
207,0.1404401804728071
208,0.13846634313077855
209,0.13644374908695758
210,0.1343695126394435
211,0.13224072357334432
212,0.1300537740703362
213,0.12780532307650275
214,0.12549186748726607
215,0.12310887729210183
216,0.1206522473452183
217,0.1181176844989145
218,0.11549957510192853
219,0.11279246742314036
220,0.10999065442445151
221,0.10708765275471417
222,0.10407655275572804
223,0.10094936873510348
224,0.0976982507915592
225,0.09431400602973743
226,0.09078667048288121
227,0.0871050510326158
228,0.08325788796810572
229,0.07923135743835229
230,0.07501161266041173
231,0.07058149564556328
232,0.0659242663954498
233,0.06101934422032394
234,0.05584490637511162
235,0.050376267683009304
236,0.04458505603646694
237,0.03844051338399438
238,0.03190713122222566
239,0.024944456220946203
240,0.017507001152962873
241,0.009542385522391273
242,0.000991494604364126
243,0.008216258932466875
244,0.018159282134807782
245,0.028931669726025743
246,0.0406414366371735
247,0.05341846262652682
248,0.06741284052907806
249,0.08280571036835768
250,0.09981499237362564
251,0.1187002038456785
252,0.13978170117461527
253,0.16344643502594342
254,0.19017708122440252
